Category,Attributes,Sub-Category,Attributes
Software and E-learning,title;isbn; author; artist; binding (hardcover/paperback); edition; publisher; language,,
Musical Instruments,,,
Books,title;isbn; author; artist; binding (hardcover/paperback); edition; publisher; language,,
Industrial and Scientific Goods,,,
Computers and Laptops,,Routers and Modems,
Computers and Laptops,,Laptop,Processor; Memory(RAM); Hard_Disk_Capacity_HDD; Processor_Brand; Screen_Size; OS; ssd_capacity
Computers and Laptops,,Computer Components,
Computers and Laptops,,Computer Accessories,
Computers and Laptops,,Desktops,Processor; Memory(RAM); Hard_Disk_Capacity_HDD; Processor_Brand; Screen_Size; OS; ssd_capacity
Computers and Laptops,,Pen Drives and Data Card,capacity
Computers and Laptops,,External Hard Drives,capacity
Computers and Laptops,,Monitor,screen_size
Computers and Laptops,,Speakers,
Computers and Laptops,,Headphones & Mic,
Computers and Laptops,,Printers and Scanners,
Shoes and Footwear,Size;Size_system;Sole_Type;Use_Type,Kids' Footwear,
Shoes and Footwear,,Women's Footwear,
Shoes and Footwear,,Men's Footwear,
"Movies, Music and Video Games",,,
Home and Kitchen,,Furniture,
Home and Kitchen,,Kitchenware,
Home and Kitchen,,Home Decor,
Home and Kitchen,,Home Furnishing,
Grocery and Gourmet Food,,Frozen Food Items,
"Mobile Phone, Tablets and Accesories",,Powerbanks,Capacity
"Mobile Phone, Tablets and Accesories",,Tablets,RAM; Screen_Size;Internal_Memory;Processor_ Make_Model;Processor_Speed;Processor_Cores
"Mobile Phone, Tablets and Accesories",,Mobiles,RAM; Screen_Size;Internal_Memory;Processor_ Make_Model;Processor_Speed;Processor_Cores
"Mobile Phone, Tablets and Accesories",,"Case, Cover and Screenguards",Target_product
"Mobile Phone, Tablets and Accesories",,Mobile Accessories,
"Mobile Phone, Tablets and Accesories",,Digital Goods,
Toys and Games,,,
Health and Wellness,,Pharmacy Products,
Health and Wellness,,E-Ciggarettes and E-Sheesha,
Health and Wellness,,Massage and Pain Relief,
Health and Wellness,,Hospital and Medical Equipment,
Health and Wellness,,Diabetic Care,
Health and Wellness,,Sexual Wellness,
Health and Wellness,,Protein and Health Supplements,
Health and Wellness,,Bp and Heart Rate Monitors,
Health and Wellness,,Health Devices,
Health and Wellness,,Homeopathy,
Health and Wellness,,Woman Care and Motherhood,
Electronics and Appliances,,Projectors,
Electronics and Appliances,,Portable Audio Players,
Electronics and Appliances,,Headphones and Earphones,
Electronics and Appliances,,Home Appliances,
Electronics and Appliances,,TV,resolution
Electronics and Appliances,,Speakers,Wattage
Electronics and Appliances,,Audio and Video Accessories,
Electronics and Appliances,,Washing Machine,
"Handbags, Bags and Luggage",,,
Sports and Outdoors,,Sports Clothing,
Sports and Outdoors,,Outdoor Gear,
Sports and Outdoors,,Sports Equipment,
Sports and Outdoors,,Exercise and Fitness,
Apparel & Accessories,Fibre/Fabric/Material;Size;Size_System;Age;Pattern,Women's Clothing,
Apparel & Accessories,,Men's Clothing,
Apparel & Accessories,,Kid's Clothing,
Tools and Hardware,,Bathroom Fittings and Accesories,
Tools and Hardware,,Other Tools,
Tools and Hardware,,Paint and Paint Tools,
Automotive,,Bike Accessories,
Automotive,,Automobiles,
Automotive,,Tyres and Spares,
Automotive,,Car Audio and GPS,
Automotive,,Car Accesories,
"Watches, Eyewear and Jewellery",,Watches,
"Watches, Eyewear and Jewellery",,Jewellery,Metal;purity;Artificial
"Watches, Eyewear and Jewellery",,Eyewear,
Beauty Products and Personal Care,,Bath,
Beauty Products and Personal Care,,Hair Care,
Beauty Products and Personal Care,,Deodrants and Fragrances,
Beauty Products and Personal Care,,Women Hygiene,
Beauty Products and Personal Care,,Shaving and Grooming,
Beauty Products and Personal Care,,Oral Care,
Beauty Products and Personal Care,,Skin Care,
Beauty Products and Personal Care,,Everyday Makeup,
Camera and Photos,,Camera Lens,
Camera and Photos,,Digital Camera,Resolution;Zoom
Camera and Photos,,Binoculars and Telescopes,
Camera and Photos,,Camcoders,
Camera and Photos,,Digital Photo Frames,
Camera and Photos,,DSLR,Resolution;Zoom
Camera and Photos,,Memory Cards,
Camera and Photos,,Camera Accesories,
Pet Supplies,,,
Office Products,,Desk Accesories,
Office Products,,Office Stationary,
Office Products,,Ink Cartridges and Toners,
Baby Care,,,
Gifts,,,
KitchenWare,,,
Uncategorized,,,
