Alizarin , ,
Amaranth , ,
Amber , ,
Amethyst , ,
Apricot , ,
Aqua , ,
Aquamarine , ,
Asparagus , ,
Auburn , ,
Azure , ,
Beige , ,
Bistre , ,
Black , ,
Blue , ,
Blue Green , ,
Blue Violet , ,
Bondi Blue , ,
Brass , ,
Bronze , ,
Brown , ,
Buff , ,
Burgundy , ,
Burnt Orange , ,
Burnt Sienna , ,
Burnt Umber , ,
Camouflage Green , ,
Caput Mortuum , ,
Cardinal , ,
Carmine , ,
Carrot orange , ,
Celadon , ,
Cerise , ,
Cerulean , ,
Champagne , ,
Charcoal , ,
Chartreuse , ,
Cherry Blossom Pink , ,
Chestnut ,  ,
Cinnabar , ,
Cinnamon , ,
Cobalt ,  , 
Coral , ,
Corn , ,
Cornflower , , 
Crimson , ,
Cyan , ,
Dandelion , ,
Denim , ,
Ecru , ,
Emerald , ,
Eggplant , ,
Falu red , ,
Fern green , ,
Firebrick , ,
Flax , ,
Forest green , ,
French Rose , ,
Fuchsia , ,
Gamboge ,,
Goldenrod , ,
Green , ,
Grey , ,
Han Purple , ,
Harlequin , ,
Heliotrope , ,
Hollywood Cerise , ,
Indigo , ,
Ivory , ,
Jade , ,
Kelly green , ,
Khaki , ,
Lavender , ,
Lawn green , ,
Lemon , ,
Lemon chiffon , ,
Lilac , ,
Lime , ,
Lime green , ,
Linen , ,
Magenta , ,
Magnolia , ,
Malachite , ,
Maroon , ,
Mauve , ,
Midnight Blue , ,
Mint green , ,
Misty rose , ,
Moss green , ,
Mustard , ,
Myrtle , ,
Navajo white , ,
Navy Blue , ,
Ochre ,  , 
Olive , ,
Olivine , ,
Orange , ,
Orchid , ,
Papaya whip , ,
Peach , ,
Pear , ,
Periwinkle , ,
Persimmon , ,
Pine Green , ,
Pink , ,
Platinum , ,
Plum ,  , 
Puce , ,
Prussian blue , ,
Psychedelic purple , ,
Pumpkin , ,
Purple ,  , 
Raw umber , ,
Razzmatazz , ,
Red , ,
Robin egg blue , ,
Rose , ,
Royal blue , ,
Royal purple , ,
Ruby , ,
Russet , ,
Rust , ,
Safety orange , ,
Saffron , ,
Salmon , ,
Sandy brown , ,
Sangria , ,
Sapphire , ,
Scarlet ,  , 
Sea Green , ,
Seashell , ,
Sepia , ,
Shamrock green , ,
Shocking Pink ,  , 
Sky Blue , ,
Slate grey , ,
Smalt , ,
Spring bud , ,
Spring green ,  , 
Tan , ,
Tangerine , ,
Taupe , ,
Teal , ,
Tenné (Tawny) , ,
Terra cotta , ,
Thistle , ,
Tomato , ,
Turquoise , ,
Tyrian purple , ,
Ultramarine , ,
Van Dyke Brown , ,
Vermilion , ,
Violet , ,
Viridian , ,
Wheat , ,
White , ,
Wisteria , ,
Xanthic , ,
Yellow , ,
Zucchini,,
